,Sector,industry,Market Cap,Enterprise Value,Shares Outstanding,PEG Ratio,Price/Book,Price/Sales,Forward P/E,Trailing P/E,Quarterly Revenue Growth,Average Dividend Yield,Held by Insiders,Held by Institutions,Gross Profit,EBITDA,EBIT_Q,EBIT_Y,Quarterly Earnings Growth,Total Cash,Diluted EPS,Quarterly Cash Growth,Cash,Net Income Q,Net Income Y
ACCO,Consumer Durables,Publishing,816450000.0,1740000000.0,94500000.0,,1.1,0.4,7.6,11.0,-0.122,,0.0287,0.9420000000000001,633500000.0,212900000.0,32800000.0,216000000.0,-0.32899999999999996,85800000.0,0.7,-0.3338509316770186,85800000.0,18800000.0,106800000.0
ATV,Consumer Services,Other Specialty Stores,53400000.0,35040000.0,2570000.0,,0.9,1.4,,5.1,-0.002,,0.9065000000000001,0.0068000000000000005,27010000.0,402.78,-745968.0,1795034.0,14.055,19800000.0,3.8,0.43245553002773307,19803702.0,1996999.0,9836231.0
AYI,Consumer Durables,Building Products,4250000000.0,4320000000.0,36030000.0,1.5,2.1,1.4,15.0,18.4,-0.051,0.3,0.0125,1.1013,1400000000.0,469600000.0,86000000.0,373300000.0,0.046,507000000.0,6.4,-0.09577314071696094,507000000.0,59600000.0,248300000.0
GOLF,Consumer Non-Durables,Recreational Products/Toys,3000000000.0,3270000000.0,74290000.0,,3.1,1.9,24.3,32.8,0.158,,0.5431,0.5024000000000001,872240000.0,196400000.0,84806000.0,184836000.0,1.122,110500000.0,1.2,0.01444977921398342,110503000.0,63216000.0,121070000.0
ADX,,,1880000000.0,,108680000.0,,0.9,13.5,,14.2,0.022000000000000002,2.7,0.0882,0.19469999999999998,33540000.0,,5197386.0,21600915.0,,250.27,1.1,0.0,250269.0,-20186014.0,478757180.0
PEO,,,338580000.0,,29780000.0,,0.8,4.8,,5.2,0.013000000000000001,3.8,0.0046,0.248,28950000.0,,3442436.0,23508321.0,,150.28,-5.8,0.0,150284.0,-84012945.0,65661312.0
ADCT,Health Care,Major Pharmaceuticals,2500000000.0,2120000000.0,76720000.0,,6.6,1.12,,,,,0.4805,0.3704,-105200000.0,-176320000.0,-52428000.0,-119399000.0,,494420000.0,,0.4183187843703115,494416000.0,-20328000.0,-116484000.0
AGRO,Consumer Non-Durables,Farming/Seeds/Milling,854230000.0,1740000000.0,117340000.0,,1.0,1.0,8.7,,0.075,,0.0,0.7089,281230000.0,293850000.0,24600000.0,116277000.0,,213580000.0,-0.3,-0.09597517978151097,213584000.0,20016000.0,-772000.0
ADNT,Capital Goods,Auto Parts:O.E.M.,3490000000.0,6110000000.0,93880000.0,0.3,2.8,0.2,11.2,,-0.083,,0.011699999999999999,0.9218000000000001,592000000.0,367000000.0,82000000.0,35000000.0,,1690000000.0,-5.8,0.6395348837209303,1692000000.0,-36000000.0,-547000000.0
ADT,Consumer Services,Diversified Commercial Services,7290000000.0,16540000000.0,770710000.0,,2.2,1.2,9.3,,-0.001,,0.0105,0.9558,3740000000.0,2120000000.0,53750000.0,329759000.0,,489430000.0,-0.7,9.763156158599609,489433000.0,-113098000.0,-424150000.0
ATGE,Consumer Services,Other Consumer Services,1870000000.0,1830000000.0,52090000.0,0.9,1.4,1.7,14.3,7.5,0.054000000000000006,,0.016200000000000003,0.9734,561950000.0,239800000.0,54365000.0,166109000.0,0.38799999999999996,561170000.0,-1.5,0.12118293920673864,561170000.0,19930000.0,-85334000.0
AAP,Consumer Services,Other Specialty Stores,11600000000.0,13580000000.0,67850000.0,1.1,3.0,1.2,17.8,24.8,0.099,0.2,0.0037,1.0228,4260000000.0,1020000000.0,265569000.0,756783000.0,0.193,1070000000.0000001,6.8,-0.06421101320891247,1068205000.0,147476000.0,486896000.0
WMS,Capital Goods,Containers/Packaging,6570000000.0,7580000000.0,70480000.0,,9.9,3.6,,39.6,0.09699999999999999,1.0,0.1041,0.8486,497540000.0,434760000.0,122218000.0,198949000.0,9.573,203880000.0,2.1,-0.1331873644828026,203883000.0,80236000.0,-193174000.0
ASIX,Basic Industries,Major Chemicals,619750000.0,1030000000.0,28030000.0,,1.5,0.5,,36.5,-0.092,,0.0298,0.8970999999999999,137590000.0,77770000.0,-25000.0,62217000.0,,16690000.000000002,0.6,-0.7703645596796168,16686000.0,-692000.0,41347000.0
AVK,,,584170000.0,,34530000.0,,1.0,13.5,,14.9,-0.215,8.9,0.0042,0.2561,32909999.999999996,,5339884.0,23761604.0,13.475,368.43,1.1,0.0,368430.0,53217899.0,38730367.0
IMPX,Finance,Business Services,,,40000000.0,,,,,,,,,,,,0.0,,,,,,,-5005.0,
IMPX.U,,,,,,,,,,,,,,,,,,,,,,,,,
IMPX.WS,,,,,,,,,,,,,,,,,,,,,,,,,
